dataset,policy,sample_count,event_count,mean_t_block_ms,std_t_block_ms,ci95_low_t_block_ms,ci95_high_t_block_ms,mean_semantic_recall,std_semantic_recall,ci95_low_semantic_recall,ci95_high_semantic_recall,mean_on_time_recall,std_on_time_recall,ci95_low_on_time_recall,ci95_high_on_time_recall,mean_read_amplification,std_read_amplification,ci95_low_read_amplification,ci95_high_read_amplification,mean_useful_on_time_bytes,std_useful_on_time_bytes,ci95_low_useful_on_time_bytes,ci95_high_useful_on_time_bytes,mean_late_useful_bytes,std_late_useful_bytes,ci95_low_late_useful_bytes,ci95_high_late_useful_bytes,mean_wrong_nvme_bytes,std_wrong_nvme_bytes,ci95_low_wrong_nvme_bytes,ci95_high_wrong_nvme_bytes,mean_wrong_h2d_bytes,std_wrong_h2d_bytes,ci95_low_wrong_h2d_bytes,ci95_high_wrong_h2d_bytes,mean_correction_bytes,std_correction_bytes,ci95_low_correction_bytes,ci95_high_correction_bytes
qmsum,No-Selected-Prefetch,3,10,0.36798658333333334,0.008174406004159192,0.36063775,0.37679100000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983040.0,0.0,983040.0,983040.0
qmsum,Oracle,3,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,983040.0,0.0,983040.0,983040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qmsum,Past-Frequency,3,10,0.09438988888888888,0.010629086724295389,0.08455033333333334,0.10566299999999999,0.8574075555555556,0.03699047536316064,0.8166670000000001,0.8888886666666668,0.8574075555555556,0.03699047536316064,0.8166670000000001,0.8888886666666668,1.2092588888888889,0.03699118458547978,1.1777766666666667,1.25,842865.7777777779,36363.34929772214,802816.0,873813.3333333334,0.0,0.0,0.0,0.0,205710.22222222222,36363.34929772213,174762.66666666666,245760.0,205710.22222222222,36363.34929772213,174762.66666666666,245760.0,140174.22222222222,36363.349297722125,109226.66666666667,180224.0
qmsum,Random-Same-Volume,3,10,0.21649347222222223,0.02810455720711269,0.18913075000000001,0.24528533333333333,0.4888889444444445,0.04444458333335936,0.44444433333333344,0.5333335,0.4888889444444445,0.04444458333335936,0.45925922222222226,0.5333335,1.5777783333333335,0.044444166690104266,1.5333350000000001,1.6222233333333334,480597.3333333333,43690.66666666666,436906.6666666667,524288.0,0.0,0.0,0.0,0.0,567978.6666666666,43690.666666666686,524288.0,611669.3333333334,567978.6666666666,43690.666666666686,524288.0,611669.3333333334,502442.6666666667,43690.666666666686,458752.0,546133.3333333334
repobench-p,History-Last1,3,10,0.09376147222222221,0.006770451410937843,0.08838633333333334,0.10136533333333332,0.8722223888888889,0.0242160542606285,0.8444446666666666,0.8888889999999999,0.8722223888888889,0.0242160542606285,0.8444446666666666,0.8888889999999999,1.135183888888889,0.036990850833285384,1.11111,1.1777766666666667,857429.3333333334,23805.400096990168,830122.6666666666,873813.3333333334,0.0,0.0,0.0,0.0,132892.44444444444,36363.34929772212,109226.66666666667,174762.66666666666,132892.44444444444,36363.34929772212,109226.66666666667,174762.66666666666,125610.66666666667,23805.400096990135,109226.66666666667,152917.33333333334
repobench-p,No-Selected-Prefetch,3,10,0.3643977777777778,0.01428473734963821,0.348271,0.37546100000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983040.0,0.0,983040.0,983040.0
repobench-p,Oracle,3,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,983040.0,0.0,983040.0,983040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
repobench-p,Past-Frequency,3,10,0.07897655555555555,0.008931693987227816,0.068671,0.08447833333333334,0.8925926666666667,0.0064149388409659855,0.8888889999999999,0.8962963333333334,0.8925926666666667,0.0064149388409659855,0.8888889999999999,0.9,1.1740736111111112,0.006413880365472451,1.1666675,1.1777766666666667,877454.2222222224,6306.20454026853,873813.3333333334,884736.0,0.0,0.0,0.0,0.0,171121.77777777778,6306.204540268547,163840.0,174762.66666666666,171121.77777777778,6306.204540268547,163840.0,174762.66666666666,105585.7777777778,6306.204540268555,98304.0,109226.66666666667
repobench-p,Random-Same-Volume,3,10,0.19988516666666667,0.02027124363956105,0.1765025,0.2118858888888889,0.5296296944444444,0.03902092136956909,0.48888899999999996,0.56666675,0.5296296944444444,0.03902092136956909,0.48888899999999996,0.56666675,1.537037777777778,0.039020201652952065,1.5,1.5777766666666668,520647.11111111107,38359.14468594207,480597.3333333333,557056.0,0.0,0.0,0.0,0.0,527928.8888888889,38359.14468594204,491520.0,567978.6666666666,527928.8888888889,38359.14468594204,491520.0,567978.6666666666,462392.88888888893,38359.14468594207,425984.0,502442.6666666667
ruler_multikey_alternating,History-Last1,3,10,0.08055558333333333,0.004593543188088398,0.0779025,0.08585975,0.8944444166666666,0.009622552599016199,0.8833332500000001,0.9,0.8944444166666666,0.009622552599016199,0.8833332500000001,0.9,1.1222225000000001,0.025458662941128623,1.1,1.15,879274.6666666666,9459.306810402828,868352.0,884736.0,0.0,0.0,0.0,0.0,120149.33333333333,25026.973395385496,98304.0,147456.0,120149.33333333333,25026.973395385496,98304.0,147456.0,103765.33333333333,9459.306810402828,98304.0,114688.0
ruler_multikey_alternating,No-Selected-Prefetch,3,10,0.3683695,0.011694809564503427,0.36097599999999996,0.3818525000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983040.0,0.0,983040.0,983040.0
ruler_multikey_alternating,Oracle,3,10,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,983040.0,0.0,983040.0,983040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ruler_multikey_alternating,Past-Frequency,3,10,0.05881991666666667,0.02051217947393288,0.0361795,0.07616575,0.9222221666666667,0.04194346945170171,0.8833332500000001,0.9666665,0.9222221666666667,0.04194346945170171,0.8833332500000001,0.9666665,1.144445,0.04194429728818921,1.1,1.183335,906581.3333333334,41232.162462491986,868352.0,950272.0,0.0,0.0,0.0,0.0,141994.66666666666,41232.162462491986,98304.0,180224.0,141994.66666666666,41232.162462491986,98304.0,180224.0,76458.66666666667,41232.162462491986,49152.0,114688.0
ruler_multikey_alternating,Random-Same-Volume,3,10,0.19084883333333336,0.008158454270468966,0.183253,0.19947250000000002,0.5833332499999999,0.016666750000000008,0.5666665,0.6,0.5833332499999999,0.016666750000000008,0.5666665,0.6,1.4833325000000002,0.016667500000000057,1.4666649999999999,1.5,573440.0,16384.0,557056.0,589824.0,0.0,0.0,0.0,0.0,475136.0,16384.0,458752.0,491520.0,475136.0,16384.0,458752.0,491520.0,409600.0,16384.0,393216.0,425984.0
