event_id,mode,dataset,sample_id,decode_step,layer_id,head_id,policy,lead_ms,slack_ms,candidate_count,selected_blocks,predicted_blocks,semantic_tp,semantic_fp,semantic_fn
controlled-86,controlled,hit_0,lead_0.25/rep_8,9,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-87,controlled,hit_0,lead_0.25/rep_9,10,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-88,controlled,hit_0,lead_0.25/rep_9,10,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-89,controlled,hit_0,lead_0.25/rep_9,10,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-90,controlled,hit_0,lead_0.25/rep_10,11,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-91,controlled,hit_0,lead_0.25/rep_10,11,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-92,controlled,hit_0,lead_0.25/rep_10,11,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-93,controlled,hit_0,lead_0.25/rep_11,12,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-94,controlled,hit_0,lead_0.25/rep_11,12,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-95,controlled,hit_0,lead_0.25/rep_11,12,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-96,controlled,hit_0,lead_0.25/rep_12,13,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-97,controlled,hit_0,lead_0.25/rep_12,13,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-98,controlled,hit_0,lead_0.25/rep_12,13,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-99,controlled,hit_0,lead_0.25/rep_13,14,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-100,controlled,hit_0,lead_0.25/rep_13,14,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-101,controlled,hit_0,lead_0.25/rep_13,14,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-102,controlled,hit_0,lead_0.25/rep_14,15,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-103,controlled,hit_0,lead_0.25/rep_14,15,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-104,controlled,hit_0,lead_0.25/rep_14,15,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-105,controlled,hit_0,lead_0.25/rep_15,16,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-106,controlled,hit_0,lead_0.25/rep_15,16,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-107,controlled,hit_0,lead_0.25/rep_15,16,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-108,controlled,hit_0,lead_0.25/rep_16,17,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-109,controlled,hit_0,lead_0.25/rep_16,17,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-110,controlled,hit_0,lead_0.25/rep_16,17,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-111,controlled,hit_0,lead_0.25/rep_17,18,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-112,controlled,hit_0,lead_0.25/rep_17,18,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-113,controlled,hit_0,lead_0.25/rep_17,18,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-114,controlled,hit_0,lead_0.25/rep_18,19,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-115,controlled,hit_0,lead_0.25/rep_18,19,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-116,controlled,hit_0,lead_0.25/rep_18,19,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
controlled-117,controlled,hit_0,lead_0.25/rep_19,20,0,0,No-Selected-Prefetch,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,,0,0,16
controlled-118,controlled,hit_0,lead_0.25/rep_19,20,0,0,History-Last1,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,0;1;2;3;4;5;6;7;8;9;26;27;28;29;30;31,0,16,16
controlled-119,controlled,hit_0,lead_0.25/rep_19,20,0,0,Oracle,0.25,0.0,128,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,16,0,0
