dataset,sample_id,policy,event_count,mean_t_block_ms,mean_semantic_recall,mean_on_time_recall,mean_read_amplification,mean_useful_on_time_bytes,mean_late_useful_bytes,mean_wrong_nvme_bytes,mean_wrong_h2d_bytes,mean_correction_bytes
repobench-p,repobench-p/0,Random-Same-Volume,3,0.21250466666666668,0.5333333333333333,0.5333333333333333,1.5333366666666668,524288.0,0.0,524288.0,524288.0,458752.0
repobench-p,repobench-p/0,History-Last1,3,0.08838633333333334,0.8888889999999999,0.8888889999999999,1.11111,873813.3333333334,0.0,109226.66666666667,109226.66666666667,109226.66666666667
repobench-p,repobench-p/0,Past-Frequency,3,0.08378033333333333,0.8888889999999999,0.8888889999999999,1.1777766666666667,873813.3333333334,0.0,174762.66666666666,174762.66666666666,109226.66666666667
repobench-p,repobench-p/0,Oracle,3,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
ruler_multikey_alternating,ruler_multikey_alternating/1,No-Selected-Prefetch,4,0.36097599999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
ruler_multikey_alternating,ruler_multikey_alternating/1,Random-Same-Volume,4,0.1994725,0.5833332499999999,0.5833332499999999,1.4833325,573440.0,0.0,475136.0,475136.0,409600.0
ruler_multikey_alternating,ruler_multikey_alternating/1,History-Last1,4,0.0779025,0.9,0.9,1.1166675,884736.0,0.0,114688.0,114688.0,98304.0
ruler_multikey_alternating,ruler_multikey_alternating/1,Past-Frequency,4,0.07616575,0.88333325,0.88333325,1.183335,868352.0,0.0,180224.0,180224.0,114688.0
ruler_multikey_alternating,ruler_multikey_alternating/1,Oracle,4,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
ruler_multikey_alternating,ruler_multikey_alternating/0,No-Selected-Prefetch,4,0.36228,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
ruler_multikey_alternating,ruler_multikey_alternating/0,Random-Same-Volume,4,0.183253,0.5666665,0.5666665,1.5,557056.0,0.0,491520.0,491520.0,425984.0
ruler_multikey_alternating,ruler_multikey_alternating/0,History-Last1,4,0.08585975,0.88333325,0.88333325,1.15,868352.0,0.0,147456.0,147456.0,114688.0
ruler_multikey_alternating,ruler_multikey_alternating/0,Past-Frequency,4,0.0641145,0.91666675,0.91666675,1.15,901120.0,0.0,147456.0,147456.0,81920.0
ruler_multikey_alternating,ruler_multikey_alternating/0,Oracle,4,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
ruler_multikey_alternating,ruler_multikey_alternating/2,No-Selected-Prefetch,2,0.38185250000000004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,983040.0
ruler_multikey_alternating,ruler_multikey_alternating/2,Random-Same-Volume,2,0.18982100000000002,0.6,0.6,1.4666649999999999,589824.0,0.0,458752.0,458752.0,393216.0
ruler_multikey_alternating,ruler_multikey_alternating/2,History-Last1,2,0.0779045,0.8999999999999999,0.8999999999999999,1.1,884736.0,0.0,98304.0,98304.0,98304.0
ruler_multikey_alternating,ruler_multikey_alternating/2,Past-Frequency,2,0.0361795,0.9666665,0.9666665,1.1,950272.0,0.0,98304.0,98304.0,32768.0
ruler_multikey_alternating,ruler_multikey_alternating/2,Oracle,2,0.0,1.0,1.0,1.0,983040.0,0.0,0.0,0.0,0.0
